kernel,shape_str,config_str,median_latency_s,total_energy_j,energy_per_call_j,mean_watts,search_method,search_time_s
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 64, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 2, num_ctas: 1, num_stages: 2, maxnreg: None",0.18326274549963273,1819.7140388887144,12.131426925924762,66.12332019977802,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 32, BLOCK_SIZE_N: 64, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 4, num_ctas: 1, num_stages: 4, maxnreg: None",0.052510970499952236,509.0700536516593,3.3938003576777285,64.68195983935743,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 32, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 8, num_ctas: 1, num_stages: 4, maxnreg: None",0.0809060009996756,797.9139244145452,5.319426162763635,65.53399877750611,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 32, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 8, num_ctas: 1, num_stages: 4, maxnreg: None",0.07840232450007534,779.955768053851,5.199705120359007,66.17435541401274,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 128, BLOCK_SIZE_N: 64, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 8, num_ctas: 1, num_stages: 4, maxnreg: None",0.140260468499946,1400.2254551460087,9.334836367640058,66.51477638015375,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 64, BLOCK_SIZE_N: 64, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 4, num_ctas: 1, num_stages: 2, maxnreg: None",0.15204426050013353,1511.041517210542,10.073610114736947,66.17977230971128,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 64, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",0.07129979299998013,700.0582255469806,4.667054836979871,65.31706470588234,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 64, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 2, num_ctas: 1, num_stages: 2, maxnreg: None",0.18357603649974408,1830.0175036566588,12.200116691044393,66.44600217627857,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 128, BLOCK_SIZE_N: 64, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 8, num_ctas: 1, num_stages: 4, maxnreg: None",0.14051508500051568,1401.8073646674504,9.345382431116336,66.48957263751763,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 32, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 4, num_ctas: 1, num_stages: 2, maxnreg: None",0.0650081265002882,644.6848722607366,4.297899148404911,66.0269641833811,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 64, BLOCK_SIZE_N: 64, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",0.1521840155000973,1518.8035217896952,10.1253568119313,66.45617857142857,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 64, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 8, num_ctas: 1, num_stages: 2, maxnreg: None",0.06941112649974457,684.6995891518538,4.5646639276790255,65.68061261261262,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 64, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 4, num_ctas: 1, num_stages: 2, maxnreg: None",0.06591860799971982,650.1422344362952,4.334281562908635,65.7034301412873,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 128, BLOCK_SIZE_N: 128, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",1.6601623404994825,16572.93649646867,110.48624330979112,66.5585630487091,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 64, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 2, num_ctas: 1, num_stages: 4, maxnreg: None",0.18060453349971795,1807.0676316649185,12.04711754443279,66.68117307692309,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 32, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",0.06529936449987872,646.0164340618297,4.306776227078865,65.84724293785311,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 64, BLOCK_SIZE_N: 64, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",0.048098326999934216,475.16026906476003,3.1677351270984,65.6274152173913,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 32, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 8, num_ctas: 1, num_stages: 4, maxnreg: None",0.07883392049961913,781.4679543870868,5.209786362580579,65.88246396965866,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 32, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 4, num_ctas: 1, num_stages: 2, maxnreg: None",0.06477364900001703,637.3194750222065,4.248796500148043,65.66132055214723,optuna,577.8731908798218
matmul,"(4096, 4096, 4096)","BLOCK_SIZE_M: 32, BLOCK_SIZE_N: 32, BLOCK_SIZE_K: 32, GROUP_SIZE_M: 8, num_warps: 4, num_ctas: 1, num_stages: 2, maxnreg: None",0.06473727050024536,636.7319935265534,4.24487995684369,65.6767667638484,optuna,577.8731908798218
